"n","m","rmse","mae","cvrg90","cvrg95","nsd"
512,1,0.202312067526401,0.162042837226657,0.874,0.932,4.57779356082307
512,2,0.189748380468358,0.151317002128687,0.8775,0.9305,4.29351566993409
512,4,0.185638068459214,0.147450370153726,0.8695,0.928,4.20046136794382
512,8,0.183271581788446,0.145126814689137,0.869,0.928,4.14695409148567
1024,1,0.143431056355828,0.115506061739558,0.8715,0.937,4.58820371738852
1024,2,0.135799480214702,0.109338939785354,0.862,0.928,4.34478074272901
1024,4,0.131908753614141,0.105989104500633,0.8675,0.927,4.22051274737216
1024,8,0.130527453921145,0.104367635665493,0.8685,0.916,4.17625165167942
2048,1,0.0974259652726707,0.0779691772627735,0.894,0.944,4.40871922792818
2048,2,0.0924224105845896,0.0735562464620692,0.8865,0.9355,4.18251683243072
2048,4,0.0903396048477501,0.0722296319222167,0.8755,0.9335,4.08826809472345
2048,8,0.0884087534904938,0.0706118103202309,0.877,0.9345,4.0009213934609
4096,1,0.0705736188412978,0.0561950525538684,0.886,0.9405,4.5167043348022
4096,2,0.0667753794674836,0.0530904608497879,0.8835,0.9335,4.27287827675
4096,4,0.0646560792392963,0.0515107198496519,0.8735,0.931,4.1376216132519
4096,8,0.0635277296577453,0.0506970487645226,0.88,0.933,4.06551720698907
4096,16,0.0632247725909175,0.050491678856705,0.8775,0.9275,4.04610677888038
8192,1,0.048848058377924,0.0387346976102671,0.8865,0.94,4.42054484157879
8192,2,0.0457786065877719,0.0363138919932905,0.89,0.942,4.14269301977609
8192,4,0.0439538752816064,0.0350581216952439,0.889,0.9425,3.97766740556488
8192,8,0.0434664083544688,0.0346208846784788,0.8865,0.9405,3.93363448648587
8192,16,0.0432382236027421,0.0342680173919974,0.8815,0.9355,3.91302256755462
16384,1,0.0357174864696801,0.0285671378590795,0.8795,0.929,4.57140239951168
16384,2,0.0331174559977736,0.0266207736760869,0.8705,0.938,4.23898368170374
16384,4,0.0320118546377734,0.0257357155137785,0.8785,0.941,4.09751678365313
16384,8,0.0314396572086602,0.0252707183025214,0.878,0.9325,4.02426693767034
16384,16,0.0310666914125279,0.0249390288892844,0.878,0.9345,3.9765234336036
