"n","m","rmse","mae","cvrg90","cvrg95","nsd"
512,1,0.208155194053476,0.162040404734903,0.8685,0.9175,4.70945558078975
512,2,0.19311759544719,0.151587733160255,0.864,0.923,4.36969338189555
512,4,0.183579049257619,0.14560238485816,0.8615,0.9225,4.1539057932242
512,8,0.179263710318796,0.142038954271865,0.8585,0.928,4.05627031515588
1024,1,0.140145419766773,0.111776960932594,0.8835,0.9405,4.48461031726838
1024,2,0.130417580545019,0.103944923703547,0.882,0.9355,4.17332686026803
1024,4,0.125512194956932,0.09924477830957,0.876,0.932,4.01630861548391
1024,8,0.124169830958893,0.0980941637562727,0.871,0.9325,3.97342033216685
2048,1,0.102443118722402,0.0820938334201384,0.872,0.93,4.63597959539348
2048,2,0.0966040174839124,0.0771230738386031,0.8665,0.9205,4.3713780469561
2048,4,0.0926789030360803,0.0743068682136853,0.8665,0.9215,4.19387615948515
2048,8,0.0907546927462234,0.0728268931651838,0.863,0.9235,4.10669153495515
4096,1,0.0717081947032804,0.0572980960859254,0.872,0.9325,4.58672050138161
4096,2,0.0678583766367852,0.0539959527688876,0.8745,0.927,4.34130909427379
4096,4,0.0655872110870695,0.0518168238084601,0.8755,0.9195,4.19636107417625
4096,8,0.0644618640024521,0.0510538924076088,0.8695,0.923,4.12510983349235
4096,16,0.063735439770566,0.0505130790387321,0.873,0.924,4.07862995217411
8192,1,0.0513046604643443,0.040959664689433,0.868,0.931,4.64284947535553
8192,2,0.0480483644205063,0.0385557456069746,0.8635,0.9245,4.34839206853526
8192,4,0.045998012864947,0.0370966536678519,0.866,0.9285,4.16290752194106
8192,8,0.0449226517792344,0.0360939641619584,0.87,0.931,4.06554485037907
8192,16,0.0447593515705178,0.0358769637144273,0.867,0.924,4.05051118205473
16384,1,0.0345368892762651,0.0274607582100093,0.887,0.943,4.42071976416751
16384,2,0.03220724712557,0.0258039853618626,0.889,0.943,4.12252079817478
16384,4,0.0308526018293717,0.0245717232101791,0.89,0.946,3.94908938658238
16384,8,0.0303795356885386,0.024191832830192,0.889,0.9405,3.88831663817285
16384,16,0.0300726408783415,0.0239412933905735,0.89,0.9425,3.84913241106227
