"n","m","rmse","mae","cvrg90","cvrg95","nsd"
512,1,0.205660256633532,0.164150596678333,0.87,0.921,4.65265442553448
512,2,0.19371519129726,0.153376072135516,0.8685,0.9235,4.38291933682541
512,4,0.186480986785773,0.147429473440499,0.8595,0.921,4.21911228475411
512,8,0.18312492638273,0.144776994727698,0.8565,0.919,4.14336801001427
1024,1,0.14567893358292,0.116493482237604,0.8665,0.9335,4.66013105582952
1024,2,0.13782472766899,0.109610800826897,0.868,0.924,4.40928057669765
1024,4,0.132982797323983,0.105366174079013,0.8645,0.9255,4.25449038978811
1024,8,0.130696912655886,0.104031924421761,0.863,0.9245,4.18116420402426
2048,1,0.101656295070578,0.0808433265820101,0.87,0.9315,4.59807008657986
2048,2,0.0957434361885263,0.0760715287671626,0.867,0.926,4.33172401975313
2048,4,0.0926127645313924,0.0735910582312028,0.8595,0.9295,4.19063938100946
2048,8,0.0910989546591241,0.0724952747271319,0.8635,0.9215,4.12221787296477
4096,1,0.0704629079137195,0.0554793777694041,0.8835,0.9285,4.50936441549464
4096,2,0.0666317701797003,0.0530483958004964,0.878,0.9335,4.26432029534155
4096,4,0.0643588401756013,0.0514096642671825,0.8735,0.926,4.11891653199395
4096,8,0.0638038029066838,0.0510069150178321,0.8735,0.9275,4.08335656486099
4096,16,0.0634640886034746,0.0507070172719604,0.8695,0.9265,4.0615818919127
8192,1,0.0502787775895653,0.0398669071771397,0.8795,0.932,4.54800295068726
8192,2,0.0471315447221156,0.0376797799469981,0.8805,0.9335,4.26252401915557
8192,4,0.0454187846741743,0.0364356564185266,0.8795,0.932,4.10626316394098
8192,8,0.044705329382123,0.0357836476598476,0.8795,0.934,4.04270812324521
8192,16,0.0443485594446531,0.0354634312650231,0.8765,0.9355,4.00974773269381
16384,1,0.035729309100534,0.028457410724832,0.8745,0.93,4.57038136777027
16384,2,0.0341529039721485,0.0271381573965577,0.868,0.9275,4.36856230928347
16384,4,0.0327459429819503,0.0262352244752418,0.8665,0.925,4.18846135423401
16384,8,0.0319810975370275,0.0256986533077025,0.8685,0.9255,4.09101015638003
16384,16,0.0315106213004905,0.0253761809667395,0.87,0.9255,4.03094071569736
