"n","m","rmse","mae","cvrg90","cvrg95","nsd"
512,1,0.20054471724101,0.159818386990185,0.872,0.926,4.53767712982954
512,2,0.186499049248771,0.148074305968883,0.8705,0.93,4.21981048328819
512,4,0.17871667953585,0.141624787638749,0.8725,0.933,4.04328675663512
512,8,0.175081402281163,0.138397683314982,0.8755,0.933,3.96138690886242
1024,1,0.137912350810232,0.110531290893415,0.889,0.9385,4.41262784974782
1024,2,0.13068293087538,0.104452667519725,0.8715,0.9365,4.18122114159072
1024,4,0.124689779509006,0.0994183226520613,0.879,0.939,3.98891441723029
1024,8,0.123399209881131,0.0979175107296788,0.874,0.933,3.94758465147302
2048,1,0.0984196779030272,0.0788730765584207,0.881,0.945,4.45391463732942
2048,2,0.0928506453111033,0.0748861321334841,0.88,0.938,4.20192277207082
2048,4,0.0902392325353647,0.0727342170123229,0.876,0.9335,4.08363916754641
2048,8,0.088721757712085,0.0712328349445581,0.8725,0.932,4.01498936814629
4096,1,0.0729118924566364,0.0589550473300681,0.8605,0.9255,4.66636085745816
4096,2,0.0674486860052781,0.0547448177835926,0.868,0.9285,4.31635925257236
4096,4,0.0649397280723017,0.0525564184706219,0.865,0.93,4.15594198684201
4096,8,0.0634281428184701,0.0510103819023256,0.865,0.9235,4.05923319217615
4096,16,0.0628802034888366,0.0507290376272448,0.867,0.9255,4.02423423379827
8192,1,0.0509816803561044,0.0403677924016321,0.869,0.9315,4.61324150649828
8192,2,0.0476560376619923,0.0377652322951547,0.8685,0.924,4.31310539469954
8192,4,0.0458604691709606,0.0360795220577856,0.8705,0.9245,4.1502557783485
8192,8,0.0448453423911005,0.0353326624674432,0.8645,0.9225,4.0584395853879
8192,16,0.0445036489514097,0.0350788068615313,0.8665,0.92,4.02762586650283
16384,1,0.0355619591286338,0.0280990772289077,0.879,0.9355,4.55081575742826
16384,2,0.0333628336364283,0.0262231166160698,0.875,0.9325,4.269923435056
16384,4,0.0320266497855753,0.0252914364070566,0.88,0.936,4.09883731740313
16384,8,0.031457258472558,0.0247549472538773,0.8785,0.935,4.0262542278347
16384,16,0.030953357675412,0.0244263298710959,0.878,0.938,3.96180123332639
