"n","m","rmse","mae","cvrg90","cvrg95","nsd"
512,1,0.19564851316763,0.156178422309386,0.8805,0.9385,4.42270667396973
512,2,0.184969645818121,0.147284500335402,0.8805,0.945,4.18137628186592
512,4,0.178024193614576,0.142133231366851,0.8775,0.94,4.02489072496202
512,8,0.175130203278815,0.139883209436462,0.8765,0.935,3.95939505663811
1024,1,0.142243193975302,0.112964996293821,0.877,0.929,4.55172577539621
1024,2,0.133202456948878,0.10596469166021,0.874,0.9305,4.26224672925225
1024,4,0.12909528523763,0.102767335150493,0.864,0.932,4.13070915179588
1024,8,0.127206034477626,0.100702281680481,0.8655,0.922,4.0703382478823
2048,1,0.101803991464937,0.0808921254334262,0.8735,0.929,4.60249080657228
2048,2,0.0951244916002343,0.0754311756296719,0.8715,0.923,4.30193027896921
2048,4,0.0918170155282146,0.0731957518884431,0.868,0.919,4.15163281089869
2048,8,0.0902342140072483,0.0720061620617822,0.863,0.9195,4.0807600505149
4096,1,0.0707530306058861,0.0559864275856488,0.8735,0.933,4.52810643534211
4096,2,0.0667670280507321,0.0530106151782206,0.8755,0.9305,4.27307734353303
4096,4,0.0644891305073527,0.0511497991906001,0.875,0.927,4.12724037921817
4096,8,0.0629573095230215,0.050251549867376,0.8735,0.929,4.0292483948765
4096,16,0.0624245515008924,0.0499059156059627,0.8755,0.928,3.99496460861379
8192,1,0.0480448341158327,0.0382411762491946,0.8975,0.942,4.34799123205115
8192,2,0.0453499224438759,0.0361477662636768,0.8905,0.9415,4.10440850765003
8192,4,0.043854244895532,0.0349480503356935,0.888,0.94,3.96885754937132
8192,8,0.0434199616274735,0.0346740717002128,0.8875,0.936,3.92946272730017
8192,16,0.0431907598548591,0.0343975175645701,0.883,0.935,3.90861307907223
16384,1,0.0352883466001967,0.0280810727596077,0.8835,0.937,4.51674579939704
16384,2,0.0327699116568674,0.0264127742592027,0.8805,0.9415,4.19434638495304
16384,4,0.0315809558475178,0.0251830269007699,0.8795,0.9365,4.04156122931617
16384,8,0.0310720808295791,0.0247674930935741,0.8795,0.9335,3.97586185260645
16384,16,0.0307258618588627,0.0245287436700878,0.878,0.933,3.93113296029542
