"n","m","rmse","mae","cvrg90","cvrg95","nsd"
512,1,0.210592202153936,0.163817519618384,0.8695,0.9325,4.76510708619654
512,2,0.192263363545425,0.152070813926182,0.8685,0.936,4.35039046661651
512,4,0.184380623557743,0.146322461774765,0.869,0.932,4.17188981239634
512,8,0.180345507147937,0.144024741610344,0.868,0.9265,4.08075127881993
1024,1,0.143695048328358,0.115742588241081,0.869,0.9385,4.59640806892538
1024,2,0.13428231497532,0.107965226256363,0.8765,0.9385,4.29536380029647
1024,4,0.129410783167861,0.103670880868254,0.873,0.934,4.13934683820726
1024,8,0.127315261264942,0.102049211065266,0.868,0.9315,4.0725778466985
2048,1,0.100888315505361,0.0812778207573395,0.879,0.9325,4.56551321372162
2048,2,0.0946016925234604,0.0759673699780773,0.875,0.931,4.28098555256398
2048,4,0.0918887276084757,0.0738003435794292,0.8705,0.924,4.15822211339559
2048,8,0.090265656200886,0.0726051031809153,0.8685,0.928,4.08466253305836
4096,1,0.0708497100732964,0.056382925757828,0.871,0.935,4.53437581042123
4096,2,0.0660846065133693,0.0526793121865807,0.8785,0.93,4.2294107486634
4096,4,0.0642080462852892,0.0512608342810127,0.8715,0.9365,4.10922560309711
4096,8,0.0630970268535596,0.0503880407604931,0.8715,0.937,4.03793565715424
4096,16,0.0624457678081504,0.0496083417902152,0.868,0.9375,3.99635215009412
8192,1,0.0510199926898794,0.041012400634393,0.869,0.9345,4.61754030120443
8192,2,0.0478308808837013,0.0379663517288566,0.8715,0.9245,4.32841800911449
8192,4,0.0464431789409995,0.036936376153086,0.8665,0.9175,4.20231749229234
8192,8,0.0453412000472335,0.036092931633001,0.867,0.926,4.10332783325534
8192,16,0.0446949826621313,0.0356836909504203,0.867,0.9225,4.04496345047229
16384,1,0.0356643183916799,0.028198344450131,0.874,0.933,4.56503225970689
16384,2,0.0334981829670967,0.0263335659111318,0.8735,0.928,4.28750223772292
16384,4,0.0321954840809326,0.0253284181798454,0.876,0.9275,4.12046919822224
16384,8,0.0315244746961011,0.0248149013123449,0.8725,0.929,4.03469346810343
16384,16,0.0311207999103434,0.0245282914262491,0.874,0.9255,3.98325188136854
