"n","m","rmse","mae","cvrg90","cvrg95","nsd"
512,1,0.203796616757596,0.161759284281025,0.869,0.9305,4.6108053556393
512,2,0.192640249885632,0.153167437667674,0.869,0.924,4.35843606433029
512,4,0.185384525204952,0.147625006219046,0.8635,0.9235,4.19424784447171
512,8,0.182369728127664,0.145373224621204,0.8685,0.9265,4.12622855553486
1024,1,0.139924564698453,0.112239895445879,0.884,0.9445,4.47738003500611
1024,2,0.132444282633911,0.10608127552687,0.879,0.9385,4.23804416759954
1024,4,0.128264290441156,0.102285201555443,0.876,0.932,4.10366544684615
1024,8,0.126927270783567,0.101559211875405,0.876,0.9335,4.0609975703233
2048,1,0.101843237461354,0.08156243335742,0.869,0.9345,4.60001830841022
2048,2,0.0961434245247699,0.0766050578304129,0.869,0.9265,4.34611837751306
2048,4,0.0926386297410895,0.0740131565288448,0.874,0.925,4.18874376339144
2048,8,0.0911421540408077,0.0727029311973381,0.8735,0.9265,4.11979477246861
4096,1,0.0718373757062537,0.0574830978323974,0.8755,0.933,4.59758880192168
4096,2,0.0679117643434802,0.054586571720175,0.875,0.9295,4.34621142507272
4096,4,0.0655023207215574,0.0527739210546181,0.8705,0.933,4.19212828633682
4096,8,0.0642112585000314,0.0517966727731764,0.869,0.9355,4.10945160237732
4096,16,0.0631923316157764,0.0508624707202855,0.8755,0.939,4.0443081589751
8192,1,0.0507438527673897,0.0407451956368056,0.8775,0.9335,4.59064532767252
8192,2,0.0482174410476147,0.0387169624778588,0.8705,0.936,4.36098403278372
8192,4,0.0465401144901,0.0371889889389838,0.8705,0.932,4.20854488425681
8192,8,0.0456893929439003,0.0365993004160142,0.868,0.9305,4.13170183759423
8192,16,0.0454399658809333,0.036395270217303,0.867,0.929,4.10929012719802
16384,1,0.0350539550862556,0.0281483120911408,0.877,0.9415,4.48634507218123
16384,2,0.0332229860772739,0.0265408802940483,0.884,0.94,4.25232948060001
16384,4,0.0320949665318986,0.0256434174720489,0.883,0.9385,4.10774090278488
16384,8,0.0313962840341511,0.0250725516875636,0.885,0.9365,4.01790075766701
16384,16,0.0310023090729224,0.0247549398534208,0.8865,0.9355,3.96765468542435
