"n","m","rmse","mae","cvrg90","cvrg95","nsd"
512,1,0.201413225244951,0.160491057909486,0.879,0.936,4.55520066361907
512,2,0.185207139245652,0.147562830437273,0.886,0.9355,4.18881477153579
512,4,0.179711368078421,0.143415906227467,0.8765,0.9355,4.06429321784808
512,8,0.17591927896745,0.140330646161703,0.879,0.9325,3.97842078457466
1024,1,0.141914560800527,0.115006120573768,0.878,0.9385,4.54081710986174
1024,2,0.131716642156264,0.105900596330167,0.8815,0.9385,4.21492257542769
1024,4,0.127591461402978,0.101648724364324,0.8755,0.928,4.08211384598761
1024,8,0.125102353713329,0.0997237723428938,0.878,0.932,4.00261145131308
2048,1,0.100432691750157,0.0802097151432141,0.8835,0.941,4.54313208442372
2048,2,0.0945561893621986,0.0756038109580158,0.8815,0.937,4.27778818591222
2048,4,0.091058854965584,0.0730427745835225,0.8885,0.938,4.1191651418079
2048,8,0.0892579718871611,0.071272844072266,0.886,0.9335,4.03814886708459
4096,1,0.0720274113111271,0.0573068485441689,0.88,0.935,4.60821985214858
4096,2,0.0674748561830898,0.0538339665933962,0.881,0.9335,4.31535183719856
4096,4,0.065331877834247,0.0520761095951389,0.8805,0.936,4.17882386110559
4096,8,0.0640443504652105,0.0508606193816149,0.881,0.937,4.09636376610487
4096,16,0.0634576631002062,0.0503558020967565,0.8775,0.935,4.0589030292938
8192,1,0.0493261478962154,0.0395718862817495,0.8945,0.9365,4.46203471456971
8192,2,0.0462922245725174,0.0373713640138188,0.8865,0.941,4.18662923104311
8192,4,0.0449705188728234,0.0362396077315637,0.887,0.937,4.06862573330029
8192,8,0.0443223915208384,0.0355944548834269,0.888,0.9345,4.00967514860681
8192,16,0.0438872362572995,0.0351505258395913,0.879,0.9395,3.97015113928121
16384,1,0.0351894341701323,0.0279342288198763,0.885,0.941,4.50379605606412
16384,2,0.0331165177379626,0.0263047298159089,0.8805,0.9365,4.2386911095771
16384,4,0.0319306219677993,0.0254097105386351,0.885,0.941,4.08683829574871
16384,8,0.0313338077742302,0.0248332592096819,0.8835,0.94,4.01062067911658
16384,16,0.0310533052505975,0.0246257906802601,0.8765,0.9385,3.97469053008377
