"n","m","rmse","mae","cvrg90","cvrg95","nsd"
512,1,0.206099353463595,0.162924914638496,0.8775,0.9315,4.66245612843209
512,2,0.192568402177534,0.153611580820375,0.877,0.931,4.3567289579402
512,4,0.187238947139974,0.149363350436598,0.8685,0.925,4.2366494178614
512,8,0.183754398564316,0.146034379432106,0.8635,0.9235,4.15780745293821
1024,1,0.142939980173156,0.113506354056008,0.8765,0.93,4.57125419962895
1024,2,0.13411287827549,0.10627743182274,0.883,0.93,4.28882588716113
1024,4,0.130056769513083,0.102873044879757,0.871,0.9325,4.15969945205226
1024,8,0.127814979425583,0.101315481323946,0.8705,0.9265,4.0878421258267
2048,1,0.105158582625396,0.084302124036959,0.87,0.927,4.75824547559834
2048,2,0.100038558954354,0.0798152597475854,0.8585,0.918,4.5254256048447
2048,4,0.0960543023471722,0.0772909813323942,0.8605,0.9215,4.34534322767953
2048,8,0.0944097822737663,0.0762970337277884,0.864,0.919,4.27141093196099
4096,1,0.0692649979927596,0.0555632055892052,0.891,0.945,4.43231590178707
4096,2,0.0647452583894718,0.0518821672100782,0.8885,0.9425,4.14334043759918
4096,4,0.0633556242064622,0.0507779945608868,0.8815,0.939,4.05475763488657
4096,8,0.0623704250149259,0.0499681837120587,0.8815,0.9445,3.99170509667868
4096,16,0.0617880612355655,0.0495649492085268,0.8805,0.941,3.95442472277837
8192,1,0.0505261977763269,0.0402936712377387,0.876,0.937,4.57216078252504
8192,2,0.0478375042146405,0.0381504285911072,0.8695,0.9305,4.32789699962839
8192,4,0.0461704133203396,0.036724079542208,0.869,0.929,4.17629675256353
8192,8,0.0452142620273161,0.0358562334622657,0.8685,0.926,4.08964007813815
8192,16,0.0447164447977995,0.0356287342796513,0.87,0.9265,4.04490146553099
16384,1,0.0356190869883271,0.0286501620807947,0.8875,0.935,4.55917908871088
16384,2,0.0336824194572594,0.0269330965223778,0.8645,0.932,4.31125053343188
16384,4,0.0322401195360182,0.025636562997702,0.873,0.9355,4.12670768413806
16384,8,0.0316733387437472,0.0252292722588058,0.874,0.932,4.0541329720215
16384,16,0.031313030996389,0.0249385985895132,0.8755,0.933,4.00798780824743
