"n","m","rmse","mae","cvrg90","cvrg95","nsd"
512,1,0.21210648694467,0.161339603023415,0.8805,0.9395,4.79931718770756
512,2,0.192246989191191,0.150170587838586,0.878,0.9345,4.34994636618855
512,4,0.183643077368457,0.145315760231836,0.878,0.938,4.15531534549192
512,8,0.17972199790203,0.142662908303426,0.8745,0.936,4.06661600645901
1024,1,0.14236478626285,0.114230839896387,0.88,0.9375,4.55455205990243
1024,2,0.13431280961943,0.107372242802774,0.877,0.933,4.29707238966896
1024,4,0.129993323743055,0.104548996155161,0.8695,0.9365,4.15813372231942
1024,8,0.127839743424718,0.102422114429731,0.8765,0.9325,4.08947079246847
2048,1,0.100292198574364,0.0796771652626042,0.8795,0.935,4.53798470746237
2048,2,0.092710842870073,0.0734481259164634,0.8925,0.94,4.19517661142648
2048,4,0.0890646631842003,0.0713765134732533,0.893,0.946,4.02982450181663
2048,8,0.0870246236774759,0.0694613633286779,0.8895,0.945,3.93793023277042
4096,1,0.0715810936766265,0.0571657297278271,0.8795,0.933,4.5800241649213
4096,2,0.0682664049043043,0.0540681289908728,0.8575,0.9275,4.36844215181737
4096,4,0.0653640790387407,0.0518396300383223,0.8595,0.9275,4.18279736509601
4096,8,0.0643449698487788,0.0510981073373213,0.863,0.93,4.11773205168603
4096,16,0.0635451146158829,0.0504714522149948,0.8685,0.927,4.06634227623878
8192,1,0.0513063140797167,0.0411586888475318,0.872,0.9295,4.64317255126224
8192,2,0.0477070602708719,0.0380574355549962,0.8805,0.9315,4.31753271389402
8192,4,0.04626298386405,0.0370003315298417,0.874,0.933,4.18705349529114
8192,8,0.045353362838349,0.0363424496933149,0.87,0.929,4.10482020609846
8192,16,0.0450071227050678,0.0361433261859727,0.8705,0.9295,4.07351783061371
16384,1,0.0347377259456184,0.0276044942054077,0.888,0.9415,4.44639508569789
16384,2,0.0323852599096147,0.0257418557031641,0.8905,0.9405,4.14529465963792
16384,4,0.0315866797894628,0.0249806811674187,0.882,0.9365,4.04279216748438
16384,8,0.0308480295548553,0.0244791467762606,0.889,0.9375,3.9483754464426
16384,16,0.0306021708172922,0.0242558692996495,0.8845,0.94,3.91700452629589
