"n","m","rmse","mae","cvrg90","cvrg95","nsd"
512,1,0.20054471724101,0.159818386990185,0.8745,0.9305,4.53767712982954
512,2,0.186499049248771,0.148074305968883,0.8745,0.931,4.21981048328819
512,4,0.17871667953585,0.141624787638749,0.8765,0.937,4.04328675663512
512,8,0.175081402281163,0.138397683314982,0.88,0.9365,3.96138690886242
1024,1,0.137912350810232,0.110531290893415,0.8925,0.943,4.41262784974782
1024,2,0.13068293087538,0.104452667519725,0.8795,0.9405,4.18122114159072
1024,4,0.124689779509006,0.0994183226520613,0.8845,0.9435,3.98891441723029
1024,8,0.123399209881131,0.0979175107296788,0.877,0.938,3.94758465147302
2048,1,0.0984196779030272,0.0788730765584207,0.884,0.947,4.45391463732942
2048,2,0.0928506453111033,0.0748861321334841,0.884,0.9435,4.20192277207082
2048,4,0.0902392325353647,0.0727342170123229,0.8815,0.936,4.08363916754641
2048,8,0.088721757712085,0.0712328349445581,0.88,0.936,4.01498936814629
4096,1,0.0729118924566364,0.0589550473300681,0.8635,0.9305,4.66636085745816
4096,2,0.0674486860052781,0.0547448177835926,0.8735,0.9335,4.31635925257236
4096,4,0.0649397280723017,0.0525564184706219,0.8705,0.933,4.15594198684201
4096,8,0.0634281428184701,0.0510103819023256,0.8695,0.927,4.05923319217615
4096,16,0.0628802034888366,0.0507290376272448,0.873,0.928,4.02423423379827
8192,1,0.0509816803561044,0.0403677924016321,0.8735,0.9335,4.61324150649828
8192,2,0.0476560376619923,0.0377652322951547,0.8705,0.9295,4.31310539469954
8192,4,0.0458604691709606,0.0360795220577856,0.8755,0.928,4.1502557783485
8192,8,0.0448453423911005,0.0353326624674432,0.8705,0.9255,4.0584395853879
8192,16,0.0445036489514097,0.0350788068615313,0.87,0.9235,4.02762586650283
16384,1,0.0355619591286338,0.0280990772289077,0.8835,0.936,4.55081575742826
16384,2,0.0333628336364283,0.0262231166160698,0.879,0.936,4.269923435056
16384,4,0.0320266497855753,0.0252914364070566,0.8855,0.94,4.09883731740313
16384,8,0.031457258472558,0.0247549472538773,0.8855,0.9375,4.0262542278347
16384,16,0.030953357675412,0.0244263298710959,0.8855,0.942,3.96180123332639
