"n","m","rmse","mae","cvrg90","cvrg95","nsd"
512,1,0.201643847899714,0.161282541109239,0.872,0.9275,4.56021807640107
512,2,0.189773609225514,0.151487188169973,0.866,0.9305,4.29171942751839
512,4,0.183805487657637,0.147358414990157,0.8705,0.9295,4.15722158748144
512,8,0.18115826559688,0.145319571913997,0.866,0.932,4.09687491143433
1024,1,0.145881091499492,0.11701084944169,0.873,0.922,4.6675760110208
1024,2,0.136299339026951,0.109855969312392,0.8685,0.9245,4.36028642293556
1024,4,0.131070855286421,0.10610343852786,0.8645,0.9255,4.19214549546227
1024,8,0.129326708791503,0.104458229824553,0.861,0.925,4.13677794909543
2048,1,0.099912011895329,0.0790951677930082,0.8785,0.9335,4.51814322799716
2048,2,0.0930737522041304,0.0738190496211768,0.887,0.9395,4.20871837270526
2048,4,0.0900791131040006,0.0719260574959715,0.8895,0.939,4.07277544699438
2048,8,0.0881500384342961,0.0701645185690369,0.886,0.94,3.98535339823519
4096,1,0.0692944172942553,0.055170677075912,0.8915,0.939,4.4343785369733
4096,2,0.0650845810060434,0.0517005109151049,0.8885,0.938,4.16509139462485
4096,4,0.0628143700092352,0.0498769862557552,0.884,0.94,4.02004015486572
4096,8,0.0615225102281873,0.0487188961351467,0.8905,0.941,3.93703464593734
4096,16,0.0613224204852289,0.048610200050807,0.884,0.939,3.9239137850219
8192,1,0.0505325850525225,0.0404542825187661,0.876,0.93,4.57342564811954
8192,2,0.0473214260218885,0.0377344579465855,0.874,0.9345,4.28291886183161
8192,4,0.0453652021206222,0.0363506323277407,0.8775,0.938,4.10573606051933
8192,8,0.0441351932648774,0.0352552110363694,0.8845,0.943,3.99381943880065
8192,16,0.0439238232745165,0.0351035998467691,0.882,0.9385,3.97515892622268
16384,1,0.0346837974849518,0.0277547153850616,0.89,0.9415,4.43763264014653
16384,2,0.0329250979125112,0.0263273062279742,0.887,0.94,4.21267964274191
16384,4,0.0317756054989202,0.0255084338659133,0.8885,0.935,4.0656158559686
16384,8,0.0309991341922663,0.0247892278785143,0.888,0.9405,3.96652525461986
16384,16,0.0307340792533654,0.0246077643292119,0.8875,0.9375,3.93304739502378
