"n","m","rmse","mae","cvrg90","cvrg95","nsd"
512,1,0.204788056994462,0.164324665819662,0.8755,0.932,4.63380650023135
512,2,0.191456272471289,0.153320346874388,0.8705,0.934,4.33207985002901
512,4,0.18444684513225,0.147559226517174,0.8735,0.93,4.17341594401056
512,8,0.1799036522394,0.144255558870418,0.881,0.9335,4.07068081170264
1024,1,0.13891522698949,0.110833440767214,0.8905,0.937,4.44356189497268
1024,2,0.129579316729626,0.103390045794389,0.8875,0.94,4.14362662867159
1024,4,0.126164096766978,0.100914491889628,0.8845,0.937,4.03484393513141
1024,8,0.124154727072892,0.0988822636749034,0.8875,0.935,3.97149641608468
2048,1,0.101083494721234,0.0801950575459962,0.8775,0.9345,4.57263447896571
2048,2,0.0954077522928322,0.07567648048348,0.875,0.932,4.31691631271503
2048,4,0.0922114566922292,0.0736000158382945,0.8705,0.9315,4.17161547576438
2048,8,0.0902464580368417,0.0722152686784915,0.872,0.9335,4.08243260830388
4096,1,0.0713393062155213,0.0563496942597347,0.8725,0.93,4.56510135792159
4096,2,0.0669397550360198,0.0531068559465335,0.8725,0.928,4.28369594514333
4096,4,0.0648349863651397,0.0515777609238397,0.8735,0.928,4.14893862700787
4096,8,0.0638690241273482,0.0509874362777064,0.8705,0.934,4.08721906303567
4096,16,0.0632076463876987,0.0503045104794776,0.8695,0.9305,4.04468051139391
8192,1,0.0506666272401732,0.0403928423065281,0.8795,0.932,4.58531699120005
8192,2,0.0476261002411743,0.0379104036942973,0.87,0.935,4.31039826124343
8192,4,0.0459764901323481,0.0367167934284393,0.872,0.9315,4.16106130302798
8192,8,0.0453667018064202,0.0361619699802626,0.872,0.93,4.10566329864079
8192,16,0.0451429964854724,0.0359551702173703,0.8695,0.927,4.08501719190301
16384,1,0.0360819128425085,0.028684568351678,0.88,0.935,4.61483051242183
16384,2,0.0340941910851208,0.0271501121074326,0.877,0.935,4.36029377096192
16384,4,0.0327696685788971,0.0261763796444841,0.8715,0.938,4.19188342201953
16384,8,0.032175698608046,0.0256804207495016,0.868,0.932,4.11668584964896
16384,16,0.0317823267900304,0.0253473916320359,0.87,0.933,4.06655580675492
