"n","m","rmse","mae","cvrg90","cvrg95","nsd"
512,1,0.200145081093437,0.159906752954616,0.8775,0.941,4.52840292543302
512,2,0.191204061248578,0.151077756776649,0.8845,0.935,4.32633427294716
512,4,0.179163918767659,0.143234254292472,0.8835,0.9385,4.05389673342154
512,8,0.175125055307722,0.14007748132529,0.8865,0.943,3.96261869993149
1024,1,0.140662607311418,0.111020642564564,0.8865,0.938,4.50106441106995
1024,2,0.132707610107935,0.104936223356911,0.875,0.937,4.24661639510808
1024,4,0.128133635738285,0.101629375620024,0.8775,0.9335,4.1002684221444
1024,8,0.126059579148095,0.099998885418079,0.871,0.9345,4.03390425982633
2048,1,0.0972808330493138,0.0771433207137366,0.8865,0.939,4.40203647503031
2048,2,0.0919498560145654,0.072686207101737,0.8835,0.9415,4.16117209118014
2048,4,0.0891384214443976,0.0704514864643115,0.886,0.932,4.03383350759474
2048,8,0.0876592401894587,0.0691633196775763,0.8865,0.9325,3.96659805823983
4096,1,0.0712466554991439,0.0568919324156785,0.8745,0.933,4.55771433209305
4096,2,0.0671888696204024,0.0537223380852143,0.876,0.9345,4.299553559246
4096,4,0.0650825034503049,0.0522264432118093,0.8755,0.9305,4.16435176050959
4096,8,0.0634173392859272,0.0509253155973727,0.882,0.9335,4.0578120783489
4096,16,0.0627357212933399,0.0503098795574508,0.8855,0.9375,4.01428589206251
8192,1,0.0501896763485149,0.0399265291249945,0.8845,0.936,4.54259451830089
8192,2,0.0469922237535971,0.0375838360437968,0.8835,0.9415,4.25312414991755
8192,4,0.0453667087465454,0.0362178492943277,0.8825,0.9305,4.10608236030876
8192,8,0.0451240107629854,0.0360219025833178,0.8675,0.9335,4.08415242948569
8192,16,0.0445361235316979,0.0354717890779099,0.8725,0.93,4.03091703665653
16384,1,0.0340238179056303,0.0268474499979013,0.894,0.9475,4.35102669193663
16384,2,0.0327178261465092,0.0260217229979679,0.885,0.9425,4.18556738344642
16384,4,0.0316746783449038,0.0250990632924291,0.887,0.938,4.05255655364649
16384,8,0.0311982342187702,0.0247405606156097,0.883,0.9375,3.99115869494846
16384,16,0.0310294688008536,0.0245620205380109,0.8835,0.934,3.96909594378136
