"n","m","rmse","mae","cvrg90","cvrg95","nsd"
512,1,0.202135175193381,0.162059922547001,0.8735,0.935,4.57270636111861
512,2,0.190492069026561,0.153794998735567,0.872,0.931,4.309498564895
512,4,0.182895994140262,0.147171309585887,0.869,0.9255,4.1376301951107
512,8,0.178908488580663,0.143861127483606,0.8715,0.929,4.04760693288742
1024,1,0.13981468010397,0.111623426279703,0.885,0.9335,4.47307508097941
1024,2,0.129887539315218,0.103899709789378,0.883,0.9385,4.15637342955516
1024,4,0.124554859540592,0.0997552421312308,0.885,0.9415,3.98556705326817
1024,8,0.122008568282767,0.097718242662423,0.882,0.945,3.90397568262306
2048,1,0.0995732281926952,0.0792172761560751,0.8805,0.933,4.50596780087423
2048,2,0.0941247300411747,0.0747655966909194,0.8775,0.928,4.25920264742693
2048,4,0.091074476368388,0.0724985605917892,0.8715,0.926,4.12123176774437
2048,8,0.0895189816971646,0.0707733195379496,0.875,0.9255,4.05077152055388
4096,1,0.0714749524264415,0.0561285013571861,0.8805,0.9325,4.57427482044971
4096,2,0.0666881924596457,0.0524349409358084,0.8755,0.932,4.26804269172679
4096,4,0.064687950164335,0.0510945473898269,0.8735,0.929,4.1396752967524
4096,8,0.0632996508169397,0.0500241833939262,0.8755,0.93,4.05080745080697
4096,16,0.0626281409236415,0.0495948546927428,0.8725,0.9305,4.00767372531256
8192,1,0.049623997670997,0.0398542957490136,0.883,0.941,4.49043162999009
8192,2,0.0463500029869802,0.0370982703694547,0.883,0.934,4.1936878524796
8192,4,0.0446464526448766,0.0357682610184225,0.884,0.94,4.03955881181334
8192,8,0.0438097074457371,0.034970797794832,0.879,0.9355,3.96356916613475
8192,16,0.0434602683183717,0.034628803292721,0.884,0.9375,3.93221900616859
16384,1,0.0357578163632267,0.0290225585436829,0.88,0.9375,4.57478546151715
16384,2,0.033456166872254,0.0268539881980208,0.8765,0.939,4.28175448122347
16384,4,0.0317458092018108,0.0254543674294687,0.8775,0.9405,4.06241814239727
16384,8,0.0311633353521445,0.0250285383753612,0.886,0.9385,3.98775008556473
16384,16,0.0309546496105149,0.0249092023272319,0.88,0.938,3.96152550049782
