"n","m","rmse","mae","cvrg90","cvrg95","nsd"
512,1,0.206239236594268,0.163593285584128,0.8685,0.9285,4.66662998559387
512,2,0.195300517520445,0.155240481173417,0.865,0.924,4.41899406434266
512,4,0.186535594427269,0.148428848024121,0.8715,0.926,4.22071746761328
512,8,0.184024790573703,0.146836592943287,0.864,0.9195,4.16395055743782
1024,1,0.141305355758818,0.11450598647811,0.88,0.942,4.51878123836649
1024,2,0.132014697010488,0.105662035306179,0.8815,0.9405,4.22192464908343
1024,4,0.12873187015022,0.102909671618192,0.8665,0.93,4.11709326571271
1024,8,0.126443318829507,0.100601734210923,0.871,0.929,4.04386016850742
2048,1,0.101895603993139,0.0816232940002856,0.872,0.932,4.61062701445193
2048,2,0.0958549878816454,0.0774579189317217,0.8695,0.934,4.33782122890781
2048,4,0.0918452270886333,0.0741799807110793,0.8725,0.932,4.15590112535985
2048,8,0.0900037536835158,0.0726217408570906,0.8705,0.932,4.07286881627426
4096,1,0.0707449889902718,0.0559486148365581,0.88,0.9355,4.52564056537798
4096,2,0.0665158016688847,0.0525608280491994,0.878,0.9295,4.25635600820675
4096,4,0.0640075955044734,0.0506672075507661,0.884,0.934,4.09566865689338
4096,8,0.0631301648965061,0.049957964268078,0.878,0.927,4.0397227674127
4096,16,0.0625811875619041,0.0495065378036784,0.8765,0.9255,4.00437261077514
8192,1,0.0504223547534902,0.0402570433444553,0.8795,0.937,4.56365321541443
8192,2,0.0468727796900114,0.0376921943700138,0.8805,0.934,4.24235966829947
8192,4,0.045088651482528,0.0363350322997633,0.881,0.9405,4.08073279560695
8192,8,0.0441759292421249,0.0354936686200919,0.881,0.939,3.99815680206651
8192,16,0.0437280635870809,0.0352653454239803,0.883,0.9415,3.95757533177638
16384,1,0.0351258328142468,0.0282404225994178,0.883,0.942,4.48985949352862
16384,2,0.0329271944299176,0.0264014799308257,0.8815,0.943,4.21070013101983
16384,4,0.0318417628402359,0.0255837433432239,0.8765,0.9345,4.07072354947008
16384,8,0.0310878458932424,0.0249558822876106,0.877,0.9325,3.97272022121024
16384,16,0.0307326170588751,0.0246674929192777,0.882,0.936,3.92603798391981
