"n","m","rmse","mae","cvrg90","cvrg95","nsd"
512,1,0.201643847899714,0.161282541109239,0.8655,0.924,4.56021807640107
512,2,0.189773609225514,0.151487188169973,0.8625,0.9265,4.29171942751839
512,4,0.183805487657637,0.147358414990157,0.8615,0.9265,4.15722158748144
512,8,0.18115826559688,0.145319571913997,0.86,0.927,4.09687491143433
1024,1,0.145881091499492,0.11701084944169,0.869,0.92,4.6675760110208
1024,2,0.136299339026951,0.109855969312392,0.8635,0.922,4.36028642293556
1024,4,0.131070855286421,0.10610343852786,0.857,0.922,4.19214549546227
1024,8,0.129326708791503,0.104458229824553,0.8585,0.9185,4.13677794909543
2048,1,0.099912011895329,0.0790951677930082,0.8765,0.929,4.51814322799716
2048,2,0.0930737522041304,0.0738190496211768,0.883,0.936,4.20871837270526
2048,4,0.0900791131040006,0.0719260574959715,0.885,0.9355,4.07277544699438
2048,8,0.0881500384342961,0.0701645185690369,0.8815,0.935,3.98535339823519
4096,1,0.0692944172942553,0.055170677075912,0.8845,0.936,4.4343785369733
4096,2,0.0650845810060434,0.0517005109151049,0.885,0.9345,4.16509139462485
4096,4,0.0628143700092352,0.0498769862557552,0.881,0.931,4.02004015486572
4096,8,0.0615225102281873,0.0487188961351467,0.883,0.9375,3.93703464593734
4096,16,0.0613224204852289,0.048610200050807,0.8805,0.9365,3.9239137850219
8192,1,0.0505325850525225,0.0404542825187661,0.873,0.928,4.57342564811954
8192,2,0.0473214260218885,0.0377344579465855,0.8715,0.931,4.28291886183161
8192,4,0.0453652021206222,0.0363506323277407,0.874,0.9355,4.10573606051933
8192,8,0.0441351932648774,0.0352552110363694,0.8795,0.9385,3.99381943880065
8192,16,0.0439238232745165,0.0351035998467691,0.875,0.9365,3.97515892622268
16384,1,0.0346837974849518,0.0277547153850616,0.8855,0.94,4.43763264014653
16384,2,0.0329250979125112,0.0263273062279742,0.884,0.937,4.21267964274191
16384,4,0.0317756054989202,0.0255084338659133,0.882,0.931,4.0656158559686
16384,8,0.0309991341922663,0.0247892278785143,0.882,0.9365,3.96652525461986
16384,16,0.0307340792533654,0.0246077643292119,0.884,0.9355,3.93304739502378
