"n","m","rmse","mae","cvrg90","cvrg95","nsd"
512,1,0.205901462185555,0.161562589580961,0.8725,0.927,4.65749137348944
512,2,0.186522208080439,0.149077585951974,0.8715,0.9355,4.22006961711042
512,4,0.180163700843803,0.143637006415578,0.8725,0.932,4.07647669716463
512,8,0.177014042651722,0.141541968041127,0.8655,0.9295,4.00528617437538
1024,1,0.141225471622776,0.112609051151216,0.8775,0.9375,4.5191512950825
1024,2,0.134177693087943,0.106041822520459,0.8675,0.929,4.29352842123091
1024,4,0.128248726473978,0.101182319989007,0.873,0.93,4.10391847635084
1024,8,0.126701053254915,0.100432488715045,0.8765,0.9285,4.05431706312544
2048,1,0.10131189769406,0.0816494576792,0.8695,0.93,4.58134248911652
2048,2,0.0943701977955312,0.0758862915450316,0.8685,0.937,4.26785565710679
2048,4,0.0910499159385181,0.0730915942793882,0.866,0.934,4.11782157371254
2048,8,0.0894657012862813,0.0715830205063026,0.8665,0.9265,4.04526123740929
4096,1,0.0703011934474762,0.0560419811930559,0.8815,0.9375,4.49921005379618
4096,2,0.0662784122209225,0.0532292483953964,0.882,0.9415,4.24170080235187
4096,4,0.0642746936060659,0.0516139469706767,0.8815,0.937,4.11318584770973
4096,8,0.0631681321182296,0.0507984223421528,0.8715,0.94,4.0420570825243
4096,16,0.06256223829089,0.0502896936702083,0.8755,0.939,4.00308446970867
8192,1,0.0507386059334988,0.0401420646018518,0.8765,0.9285,4.59231557562529
8192,2,0.0476765134852951,0.0378316070320963,0.871,0.925,4.31511238368626
8192,4,0.0460511314751316,0.0365238619266761,0.869,0.9215,4.16736960031396
8192,8,0.0449430222929023,0.0356356817151042,0.8755,0.9225,4.06721199219753
8192,16,0.0443089254002026,0.0351050327742322,0.8695,0.9265,4.00957907959241
16384,1,0.0354216171303991,0.0280049764039854,0.8725,0.9335,4.52440028029113
16384,2,0.033132050421859,0.0263687086890348,0.88,0.931,4.23514073644881
16384,4,0.0318468178347806,0.0252206598811985,0.8815,0.93,4.07092374296721
16384,8,0.0318265044696592,0.0250919859807018,0.8665,0.923,4.06839120831983
16384,16,0.0315798651247438,0.0249949923729476,0.868,0.922,4.03822216215842
