"n","m","rmse","mae","cvrg90","cvrg95","nsd"
512,1,0.201768128085963,0.161281360015993,0.8755,0.929,4.5647779162024
512,2,0.188983642947927,0.150538604257356,0.871,0.926,4.27589655242919
512,4,0.181861850050464,0.144857555333997,0.8705,0.933,4.11488983442723
512,8,0.179493460143374,0.142769658277956,0.873,0.9255,4.06130243321594
1024,1,0.142402549242264,0.11431481608278,0.8715,0.938,4.55686749711798
1024,2,0.134278687694512,0.107604269160494,0.8755,0.9345,4.29690813816624
1024,4,0.129347346433333,0.103608466408014,0.869,0.9305,4.13909641233225
1024,8,0.126638112847522,0.101734366905326,0.8725,0.934,4.05241946374015
2048,1,0.097957232248317,0.0785390107345195,0.885,0.937,4.43303455309218
2048,2,0.0930471770166881,0.0746015433052527,0.8765,0.937,4.21077016742652
2048,4,0.0895824557644869,0.0721528863729757,0.8755,0.9385,4.05389690044954
2048,8,0.0880550653506307,0.0710395303021487,0.8745,0.932,3.98480330238776
4096,1,0.0700550912667108,0.0563811158607932,0.883,0.943,4.48339824731788
4096,2,0.0655184163950344,0.0527361798442722,0.8845,0.9455,4.1929585992162
4096,4,0.0634006188846426,0.050801062976571,0.8795,0.9375,4.05727061811853
4096,8,0.0621848621710125,0.049978692767405,0.8855,0.933,3.97972366035905
4096,16,0.0613246038900927,0.04919065870187,0.888,0.938,3.92464358505742
8192,1,0.0503447688885242,0.0406281551042251,0.8735,0.9385,4.54998282663031
8192,2,0.0473323860868104,0.0382279172364572,0.8675,0.934,4.27911192837994
8192,4,0.0455056585906518,0.0365838501530371,0.868,0.9315,4.11380543651745
8192,8,0.0445570264240492,0.0357579587280136,0.871,0.934,4.02744295095001
8192,16,0.0441594480446087,0.0354604996615058,0.867,0.931,3.99217317647733
16384,1,0.034754571918536,0.0279581236842749,0.884,0.939,4.44853613797672
16384,2,0.0329130002309733,0.0264015359463827,0.876,0.935,4.21277444249828
16384,4,0.0321866571321931,0.0259272916479465,0.878,0.931,4.11989013225404
16384,8,0.0317090940788002,0.0255126487377724,0.8725,0.928,4.05849931720962
16384,16,0.0315495132235818,0.0253688070020949,0.875,0.9245,4.03802575711025
